ID,BCR,AOU_52,CommonName,ScientificName,Introduced,BD-g,BD-g_s,BD-g Area,BD-g_com,GlobalPopEst,PS-g,PS-g_s,PS-g_com1,PS-g_com2,PS-g_com3,PT-r,PT-r_s,PT-r_com,TB-r,TB-r_s,TB-r_com,RD-b,RD-b_s,RD-b_com,pPop,pPop_s,SubstShared,RCS-b,RC,UCC,TNC,TNC-group,CBSD,Action,RS,UCS
6045,37,1900,Pyrrhuloxia,Cardinalis sinuatus,FALSE,2,Natureserve 3.0,1521245,,3100000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,SE-PIF,,2,bbs07,,0.6,RngG & BBS,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6046,37,1910,Blue Grosbeak,Passerina caerulea,FALSE,1,Natureserve 3.0,5298904,,24000000,2,PIF BBS-based calculation 2008,,,,2,BBS-08,,2,SE-PIF,,2,bbs07,,0.4,BBS & RngG,US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6047,37,1912,Indigo Bunting,Passerina cyanea,FALSE,1,Natureserve 3.0,5858023,,78000000,1,PIF BBS-based calculation 2008,,,,4,BBS-08,,2,Hunter,,2,bbs07,,0.1,BBS & RngG,US-MX,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6048,37,1916,Painted Bunting,Passerina ciris,FALSE,2,Natureserve 3.0,1411246,,13000000,2,PIF BBS-based calculation 2008,,,,5,BBS-08,,4,,,3,bbs07,,2.3,BBS & RngG,US-MX,16,TRUE,FALSE,FALSE,,FALSE,IM,FALSE,FALSE
6049,37,1917,Dickcissel,Spiza americana,FALSE,2,Natureserve 3.0,3458339,,20000000,2,PIF BBS-based calculation 2008,,,,4,BBS-08,,4,,,4,bbs07,,1.5,BBS,US-MX,16,TRUE,FALSE,FALSE,,FALSE,MA,FALSE,FALSE
6050,37,1919,Red-winged Blackbird,Agelaius phoeniceus,FALSE,1,Natureserve 3.0,13613892,,130000000,1,PIF BBS-based calculation 2008,,,,5,BBS-08,,2,SE-PIF,,5,bbs07,,2.3,BBS & RngG,,14,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6051,37,1927,Eastern Meadowlark,Sturnella magna,FALSE,1,Natureserve 3.0,7284660,,33000000,2,PIF BBS-based calculation 2008,,,,5,BBS-08,,3,SE-PIF,,5,bbs07,,6.1,BBS & RngG,,16,TRUE,FALSE,FALSE,,TRUE,MA,TRUE,TRUE
6052,37,1928,Western Meadowlark,Sturnella neglecta,FALSE,1,Natureserve 3.0,6708072,,85000000,1,PIF BBS-based calculation 2008,,distance revised to 200 m based on review of large grassland dataset; score changes to PS=1 (Blancher email; Dec. 20; 2008),,3,No data,,3,Vermillion,Species added to BCR list based on recent BBS record(s),1,bbs07,,0,BBS & RngG,US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6053,37,1934,Common Grackle,Quiscalus quiscula,FALSE,1,Natureserve 3.0,8190985,,61000000,1,PIF BBS-based calculation 2008,,,,4,BBS-08,,1,SE-PIF,,5,bbs07,,1.4,BBS,,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6054,37,1935,Boat-tailed Grackle,Quiscalus major,FALSE,4,Natureserve 3.0,202340,,2000000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,1,SE-PIF,,5,bbs07,,24,BBS,,16,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6055,37,1936,Great-tailed Grackle,Quiscalus mexicanus,FALSE,1,Natureserve 3.0,5008310,,9500000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,1,SE-PIF,,4,bbs07,,7.5,BBS & RngG,US-MX,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
